time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1994-01-19T19:45:43.230Z,34.364,-118.612,2.755,2.48,ml,0,93.9,,0.216,ci,ci3142321,2016-02-13T06:01:35.686Z,"11km SSW of Valencia, California",earthquake,,0.541,,14,reviewed,ci,ci
1994-01-19T19:45:24.730Z,34.351,-118.611,12.895,2.34,mc,0,66.6,,0.267,ci,ci3167471,2016-02-13T03:34:29.716Z,"10km N of Chatsworth, California",earthquake,,1.866,,80,reviewed,ci,ci
1994-01-19T19:44:00.180Z,34.26,-118.509,9.961,2.16,mc,0,76.9,,0.372,ci,ci3167467,2016-02-13T06:01:34.240Z,"2km SSW of Granada Hills, California",earthquake,,2.551,,55,reviewed,ci,ci
1994-01-19T19:43:07.150Z,34.327,-118.458,4.494,2.23,ml,0,53.1,,0.24,ci,ci3142316,2016-02-11T23:47:50.333Z,"5km NNW of Pacoima, California",earthquake,,0.296,,4,reviewed,ci,ci
1994-01-19T19:42:55.630Z,34.335,-118.615,6.993,2.14,mc,0,112.6,,0.217,ci,ci3167462,2016-02-13T01:01:15.772Z,"9km N of Chatsworth, California",earthquake,,1.861,,77,reviewed,ci,ci
1994-01-19T19:33:13.990Z,34.297,-118.465,6.578,2.18,mc,0,71.9,,0.248,ci,ci2162522,2016-02-13T03:34:28.488Z,"3km WNW of Pacoima, California",earthquake,,1.12,,83,reviewed,ci,ci
1994-01-19T19:32:00.580Z,34.365,-118.504,0.369,2.56,ml,0,51.7,,0.237,ci,ci3142315,2016-02-12T04:47:58.063Z,"6km S of Santa Clarita, California",earthquake,,0.254,,15,reviewed,ci,ci
1994-01-19T19:30:19.550Z,36.7673333,-121.3948333,5.378,1.32,md,16,70,0.02703,0.08,nc,nc30040269,2016-12-21T21:43:12.117Z,"Central California",earthquake,0.28,0.57,0.15,14,reviewed,nc,nc
1994-01-19T19:24:22.110Z,38.7923333,-122.7956667,0.371,0.75,md,6,92,0.01532,0.01,nc,nc1211678,2016-12-21T21:43:04.008Z,"Northern California",earthquake,0.33,0.85,0.2,6,reviewed,nc,nc
1994-01-19T19:24:00.480Z,34.405,-118.625,13.95,1.89,mc,0,90.4,,0.209,ci,ci3142314,2016-02-12T07:10:44.968Z,"7km SW of Valencia, California",earthquake,,0.326,,52,reviewed,ci,ci
1994-01-19T19:23:19.340Z,37.5946667,-118.8033333,6.369,1.4,md,28,50,0.01802,0.03,nc,nc395368,2016-12-21T21:42:54.150Z,"Long Valley area, California",earthquake,0.21,0.37,0.09,19,reviewed,nc,nc
1994-01-19T19:22:42.120Z,34.261,-118.509,13.038,2.45,mc,0,96.5,,0.22,ci,ci3142313,2016-02-12T14:49:06.241Z,"1km SSW of Granada Hills, California",earthquake,,0.292,,106,reviewed,ci,ci
